text,audio,category
six tomatoes period,"{'array': array([ 1.43432617e-03,  1.37329102e-03,  1.31225586e-03, ...,
       -6.10351562e-05, -1.22070312e-04, -1.83105469e-04]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000775.wav', 'sampling_rate': 16000}",28
and something brought back restored from the remote past period,"{'array': array([-0.00045776, -0.00033569, -0.00027466, ...,  0.00067139,
        0.00067139,  0.00064087]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000942.wav', 'sampling_rate': 16000}",28
for alice had read several nice little stories about children that got burnt comma and eaten up by wild beasts comma and other unpleasant things comma,"{'array': array([0.00619507, 0.00524902, 0.00396729, ..., 0.00128174, 0.0005188 ,
       0.00064087]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000084.wav', 'sampling_rate': 16000}",28
and into the bar period,"{'array': array([0.00064087, 0.00064087, 0.00061035, ..., 0.00158691, 0.00158691,
       0.00158691]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000789.wav', 'sampling_rate': 16000}",28
again comma capricious luck comma surprise comma and swift action were on his side period,"{'array': array([ 0.00033569,  0.0005188 , -0.00030518, ...,  0.00363159,
        0.00357056,  0.00357056]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000916.wav', 'sampling_rate': 16000}",28
that some incredible thing had been loose in the room during the past night period,"{'array': array([ 0.0022583 ,  0.00274658,  0.00350952, ..., -0.00042725,
       -0.0005188 , -0.00057983]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000197.wav', 'sampling_rate': 16000}",28
her head struck against the roof of the hall in fact comma she was now rather more than nine feet high comma,"{'array': array([ 0.00000000e+00,  0.00000000e+00, -3.05175781e-05, ...,
        6.10351562e-03, -5.24902344e-03, -8.54492188e-03]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000000468_S0000147.wav', 'sampling_rate': 16000}",28
then it burned peacefully again period,"{'array': array([-3.96728516e-04, -1.98364258e-03, -9.15527344e-05, ...,
       -1.06811523e-03, -1.09863281e-03, -9.76562500e-04]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000416.wav', 'sampling_rate': 16000}",28
then i went out and locked the door after which i left the house comma to get certain matters comma,"{'array': array([ 0.00091553,  0.00094604,  0.00106812, ..., -0.00119019,
       -0.00250244, -0.0010376 ]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000537.wav', 'sampling_rate': 16000}",28
their tent was now covered by the rising plastic roof but beyond the clear substance comma he could still watch for starlight to be stopped by prowling forms comma out there at the jagged rim of vesta period,"{'array': array([-0.01391602,  0.00164795,  0.01800537, ...,  0.00027466,
        0.00036621,  0.00042725]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000610.wav', 'sampling_rate': 16000}",28
for i knew now that the grey room was haunted by a monstrous hand period,"{'array': array([9.15527344e-05, 9.15527344e-05, 1.22070312e-04, ...,
       8.85009766e-04, 8.85009766e-04, 8.54492188e-04]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000430.wav', 'sampling_rate': 16000}",28
come on comma neely exclamationpoint you heard what pun'kins said comma,"{'array': array([-0.00024414, -0.00021362, -0.00024414, ...,  0.00238037,
        0.00244141,  0.00250244]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0001120.wav', 'sampling_rate': 16000}",28
can you understand questionmark,"{'array': array([ 0.00076294,  0.00079346,  0.00082397, ..., -0.0005188 ,
       -0.0005188 , -0.00048828]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000392.wav', 'sampling_rate': 16000}",28
it was only a partial defense therefore comma and i nearly died in the pentacle period,"{'array': array([ 3.66210938e-04,  3.66210938e-04,  3.66210938e-04, ...,
       -6.10351562e-05, -9.15527344e-05, -1.83105469e-04]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001381_S0000307.wav', 'sampling_rate': 16000}",28
her begging could not have stopped him period,"{'array': array([ 1.83105469e-04,  6.10351562e-05,  3.35693359e-04, ...,
       -1.67846680e-03, -1.22070312e-03,  3.05175781e-04]), 'path': '/root/.cache/huggingface/datasets/downloads/extracted/0eeaff4118529656956fb4de24ddba1a821b1567b3f95db4bff914a356c8787f/xs_chunks_0000/AUD0000001043_S0000108.wav', 'sampling_rate': 16000}",28
